,STNAME,STATE,YEAR,rep_vote_pct,linear_model_predictions,polynomial4_only_predictions,polynomial_3_only_predictions,polynomial_2_predictions,electoral_votes,actual_result,linear_result,poly_4_result,poly_3_result,poly_2_result,actual_result_mapped,linear_result_mapped,poly_4_result_mapped,poly_3_result_mapped,poly_2_result_mapped
24,Mississippi,28,2000,0.5860085013811166,0.43911390032232145,0.5697485549130832,0.5518479730416033,0.516629647287921,7,1.0,0.0,1.0,1.0,1.0,REPUBLICAN,DEMOCRAT,REPUBLICAN,REPUBLICAN,REPUBLICAN
25,Missouri,29,2000,0.5171194865675066,0.5138525259375566,0.4969827963920679,0.5029322006306245,0.5093837488430424,11,1.0,1.0,0.0,1.0,1.0,REPUBLICAN,REPUBLICAN,DEMOCRAT,REPUBLICAN,REPUBLICAN
26,Montana,30,2000,0.6365636197866972,0.5886787982740298,0.5789557635431635,0.5775526007560501,0.5910961385138194,3,1.0,1.0,1.0,1.0,1.0,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN
27,Nebraska,31,2000,0.6517948086208503,0.564023990232192,0.5608237587518587,0.560537199358123,0.5469094721296486,5,1.0,1.0,1.0,1.0,1.0,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN
28,Nevada,32,2000,0.5185683849967243,0.5980051421032093,0.58259056386472,0.5890464239618609,0.588283821905172,4,1.0,1.0,1.0,1.0,1.0,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN
29,New Hampshire,33,2000,0.506678001952188,0.5755894204747927,0.5301689159878151,0.5325250305083244,0.5280821420759381,4,1.0,1.0,1.0,1.0,1.0,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN
30,New Jersey,34,2000,0.4178859058327907,0.4538906798604643,0.45208235495723414,0.45217623322943723,0.4054700190519682,15,0.0,0.0,0.0,0.0,0.0,DEMOCRAT,DEMOCRAT,DEMOCRAT,DEMOCRAT,DEMOCRAT
31,New Mexico,35,2000,0.4996807397069085,0.43440950185483507,0.5542520554672805,0.5459794164574276,0.533276343241539,5,0.0,0.0,1.0,1.0,1.0,DEMOCRAT,DEMOCRAT,REPUBLICAN,REPUBLICAN,REPUBLICAN
32,New York,36,2000,0.3691211476575819,0.42466800263708393,0.38509449824666575,0.3876072082809827,0.338191383007711,33,0.0,0.0,0.0,0.0,0.0,DEMOCRAT,DEMOCRAT,DEMOCRAT,DEMOCRAT,DEMOCRAT
33,North Carolina,37,2000,0.5646399698150305,0.5060359837258464,0.5247548494094119,0.5238880358244273,0.5594921332018075,14,1.0,1.0,1.0,1.0,1.0,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN
34,North Dakota,38,2000,0.6472739657061628,0.6077758579461126,0.6078351199392316,0.5994481724579543,0.6133443122183877,3,1.0,1.0,1.0,1.0,1.0,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN
35,Ohio,39,2000,0.5181843166095819,0.5101202714878079,0.49083643145525,0.49718952068430156,0.5009834650217542,21,1.0,1.0,0.0,0.0,1.0,REPUBLICAN,REPUBLICAN,DEMOCRAT,DEMOCRAT,REPUBLICAN
36,Oklahoma,40,2000,0.6108067122211892,0.5178030722409659,0.5301864169091672,0.5297720443310254,0.5601703653429766,8,1.0,1.0,1.0,1.0,1.0,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN
37,Oregon,41,2000,0.4976410801446944,0.5671545204817394,0.5754238446072506,0.5727841667502815,0.560366699549796,7,0.0,1.0,1.0,1.0,1.0,DEMOCRAT,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN
38,Pennsylvania,42,2000,0.4785152128319685,0.4875424587566157,0.4612792052005048,0.46269787738360435,0.4399301388737342,23,0.0,0.0,0.0,0.0,0.0,DEMOCRAT,DEMOCRAT,DEMOCRAT,DEMOCRAT,DEMOCRAT
39,Rhode Island,44,2000,0.3435088393240068,0.4767387248531696,0.4766054051543378,0.4839868642038141,0.36661696884120687,4,0.0,0.0,0.0,0.0,0.0,DEMOCRAT,DEMOCRAT,DEMOCRAT,DEMOCRAT,DEMOCRAT
40,South Carolina,45,2000,0.5814760455908285,0.4669771192526415,0.5382289422108286,0.5348775527589709,0.5445924529448618,8,1.0,0.0,1.0,1.0,1.0,REPUBLICAN,DEMOCRAT,REPUBLICAN,REPUBLICAN,REPUBLICAN
41,South Dakota,46,2000,0.6161471257237386,0.5825587433750421,0.5730960684544542,0.569050507384361,0.6019736717218152,3,1.0,1.0,1.0,1.0,1.0,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN
42,Tennessee,47,2000,0.5196286678517901,0.5067959333322491,0.5136381007450623,0.5177914374865793,0.5344111068428816,11,1.0,1.0,1.0,1.0,1.0,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN
43,Texas,48,2000,0.6095627014856294,0.49813571921071276,0.5374483032320185,0.5400897488775485,0.5322086514234172,32,1.0,0.0,1.0,1.0,1.0,REPUBLICAN,DEMOCRAT,REPUBLICAN,REPUBLICAN,REPUBLICAN
44,Utah,49,2000,0.7172550543132414,0.6266496651783116,0.6748041407098455,0.6689518835928396,0.7178659744602456,5,1.0,1.0,1.0,1.0,1.0,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN
45,Vermont,50,2000,0.445596491032266,0.5637378484674196,0.49333815838492967,0.495793859818761,0.4918256668578138,3,0.0,1.0,0.0,0.0,0.0,DEMOCRAT,REPUBLICAN,DEMOCRAT,DEMOCRAT,DEMOCRAT
46,Virginia,51,2000,0.541543565199399,0.5088914108744924,0.5266880459111363,0.5256332804243584,0.564709753954908,13,1.0,1.0,1.0,1.0,1.0,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN
47,Washington,53,2000,0.4705522899059459,0.5726955717856366,0.5873818316263666,0.5822239867473087,0.6049209352311351,11,0.0,1.0,1.0,1.0,1.0,DEMOCRAT,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN
48,West Virginia,54,2000,0.5324207401593741,0.5318094327050877,0.4449988376483418,0.4379328086762513,0.44380674439573653,5,1.0,1.0,0.0,0.0,0.0,REPUBLICAN,REPUBLICAN,DEMOCRAT,DEMOCRAT,DEMOCRAT
