STNAME,STATE,YEAR,TOT_POP,MALE_PCT,WHITE_PCT,HISPANIC_PCT,Young_PCT
Alabama,1,2000,3521922,0.4748773538993765,0.7355242393215977,0.015647422061022362,0.544907865648359
Alabama,1,2004,3590057,0.47687989355043664,0.7297260182777042,0.018938417969408285,0.5219591220975043
Alabama,1,2008,3735939,0.4776732168271484,0.7227355692906121,0.022773658777619228,0.5027667742969036
Alabama,1,2012,3891715,0.47922548285267547,0.713070715609956,0.03266606110673572,0.48871050423784884
Alabama,1,2016,3960737,0.4785932517104771,0.705253845433312,0.03384344883288135,0.4764456716010177
Alabama,1,2020,4113022,0.4815785084543676,0.7009860389757215,0.037676676662561005,0.47192210496321196
Alaska,2,2000,469829,0.5186738153668675,0.7408908347505156,0.036540954262082585,0.6244548548514459
Alaska,2,2004,508454,0.5188217616539549,0.7348845716623332,0.04530596671478639,0.5891742419176562
Alaska,2,2008,538643,0.5232259585662489,0.7298061981683601,0.05188037345700213,0.5666220483696994
Alaska,2,2012,573269,0.5229604252105032,0.705574520861934,0.05497070310796502,0.5448088070347429
Alaska,2,2016,584657,0.5258604617750237,0.6903551997153887,0.0621509705690687,0.5438436553397975
Alaska,2,2020,582643,0.5297738066019844,0.6756349943275728,0.06622923471147855,0.5352402757777919
Arizona,4,2000,4009385,0.495595957983581,0.8930629011681342,0.2207697689296488,0.5624049573687735
Arizona,4,2004,4473953,0.4966332905151216,0.8864418110784803,0.24097213359192643,0.5465412801609673
Arizona,4,2008,5066622,0.49823136598704226,0.8771826672682509,0.26194494083039943,0.5290246637700622
Arizona,4,2012,5204435,0.49398272819239747,0.8552396177490929,0.26570972641602786,0.5052004684466229
Arizona,4,2016,5578571,0.49354162562419657,0.8460480291458153,0.27756785743158957,0.48930236793616144
Arizona,4,2020,5865940,0.4983223490182307,0.8366551652420584,0.2910346849780257,0.486674599467434
Arkansas,5,2000,2116895,0.4816691427775114,0.8320441023291189,0.02832497596715945,0.5347147591165362
Arkansas,5,2004,2176716,0.483430084586138,0.827378491268498,0.036134709351151,0.5184066272311133
Arkansas,5,2008,2272317,0.4844750974445907,0.8219434172256775,0.04483837422331479,0.5008051253412266
Arkansas,5,2012,2357954,0.48616554860697025,0.8137347039000761,0.05503203200740981,0.489766551849612
Arkansas,5,2016,2403910,0.4862291017550574,0.8070518447030047,0.06096442878477148,0.48251972827601697
Arkansas,5,2020,2438302,0.49028545274539415,0.8006530774284728,0.0692362964062696,0.4806980431464191
California,6,2000,26200355,0.4943462407284176,0.7820609682578729,0.28875463710319954,0.5951130814830562
California,6,2004,27750536,0.4954174939179553,0.7739632488540041,0.30927193622494353,0.5750239923293734
California,6,2008,29025318,0.49719124524320457,0.7666353216181817,0.3288995490075251,0.5543946150736402
California,6,2012,30416927,0.4933070655033627,0.7399736666363437,0.34688533789097103,0.5349784348695054
California,6,2016,31700544,0.493315162036336,0.7287799540600943,0.35759824815624613,0.5195460999028912
California,6,2020,32218663,0.4987259092656949,0.7167491090490006,0.3691632082932802,0.5145623516407245
Colorado,8,2000,3405978,0.5011952514079656,0.91456961847669,0.15338795494275065,0.5941829336537112
Colorado,8,2004,3644818,0.5023425037957999,0.9095074157337897,0.16602639692846116,0.5669056726563576
Colorado,8,2008,3930346,0.5025058862502182,0.905828901577622,0.17600587836287188,0.5417227898001855
Colorado,8,2012,4154385,0.4986995668432271,0.891373332033502,0.18304105180429836,0.5234416165088214
Colorado,8,2016,4490062,0.5006968723371749,0.8840383495818098,0.18973613281954682,0.5188135486770561
Colorado,8,2020,4759537,0.5067667296209695,0.8769359288519031,0.19870336127232543,0.5230693657807471
Connecticut,9,2000,2702848,0.47723512383974237,0.8732303851344951,0.08281893765391173,0.5317724119151355
Connecticut,9,2004,2780455,0.47982830148303063,0.8631972105284926,0.0940759695805183,0.5116824404638809
Connecticut,9,2008,2837676,0.4820173268547924,0.8538938201542389,0.10606496301903388,0.4900848440766317
Connecticut,9,2012,2946880,0.4821350038006298,0.8324163182755999,0.12633666793354328,0.46858779454881094
Connecticut,9,2016,2966380,0.48333726629764223,0.8190295916234602,0.13995206278359482,0.4585629622637693
Connecticut,9,2020,2995351,0.48621146570134854,0.8055910642859552,0.1551484283477963,0.45788122994600633
Delaware,10,2000,623603,0.47883188502941776,0.7844285547054777,0.04152481626932519,0.5522552008248838
