year,state,republic_vote_per
2000,ALABAMA,0.5758552838974861
2000,ALASKA,0.6793694856372919
2000,ARIZONA,0.5328259916713985
2000,ARKANSAS,0.5280068951042081
2000,CALIFORNIA,0.43797010000928216
2000,COLORADO,0.5448583576042003
2000,CONNECTICUT,0.4074434195114548
2000,DELAWARE,0.43259935214711553
2000,DISTRICT OF COLUMBIA,0.0951230552222152
2000,FLORIDA,0.4999826538926039
2000,GEORGIA,0.5598375362290265
2000,HAWAII,0.4017332194565981
2000,IDAHO,0.7084849045574401
2000,ILLINOIS,0.4381998968416041
2000,INDIANA,0.5800478253258193
2000,IOWA,0.4983722081248183
2000,KANSAS,0.6091690746352808
2000,KENTUCKY,0.5772778700401617
2000,LOUISIANA,0.5393924596634723
2000,MAINE,0.4725215845899958
2000,MARYLAND,0.41529175399409773
2000,MASSACHUSETTS,0.35210656239366184
2000,MICHIGAN,0.473653935182659
2000,MINNESOTA,0.4871358802418868
2000,MISSISSIPPI,0.5860085013811166
2000,MISSOURI,0.5171194865675066
2000,MONTANA,0.6365636197866972
2000,NEBRASKA,0.6517948086208503
2000,NEVADA,0.5185683849967243
2000,NEW HAMPSHIRE,0.506678001952188
2000,NEW JERSEY,0.4178859058327907
2000,NEW MEXICO,0.49968073970690857
2000,NEW YORK,0.36912114765758197
2000,NORTH CAROLINA,0.5646399698150305
2000,NORTH DAKOTA,0.6472739657061628
2000,OHIO,0.5181843166095819
2000,OKLAHOMA,0.6108067122211892
2000,OREGON,0.4976410801446944
2000,PENNSYLVANIA,0.4785152128319685
2000,RHODE ISLAND,0.34350883932400683
2000,SOUTH CAROLINA,0.5814760455908285
2000,SOUTH DAKOTA,0.6161471257237386
2000,TENNESSEE,0.5196286678517901
2000,TEXAS,0.6095627014856294
2000,UTAH,0.7172550543132414
2000,VERMONT,0.445596491032266
2000,VIRGINIA,0.541543565199399
2000,WASHINGTON,0.4705522899059459
2000,WEST VIRGINIA,0.5324207401593741
2000,WISCONSIN,0.49884931696842194
2000,WYOMING,0.7098230564031704
2004,ALABAMA,0.6289777135228225
2004,ALASKA,0.6183817430897611
2004,ARIZONA,0.5527500503048827
2004,ARKANSAS,0.5499994718653045
2004,CALIFORNIA,0.44951082417785787
2004,COLORADO,0.5236622955824264
2004,CONNECTICUT,0.44725052439415874
2004,DELAWARE,0.4616855661229935
2004,DISTRICT OF COLUMBIA,0.09479721352563932
2004,FLORIDA,0.5252367957566879
2004,GEORGIA,0.5835423269640956
2004,HAWAII,0.4562593577168699
2004,IDAHO,0.6932273818336431
2004,ILLINOIS,0.44794589085589137
2004,INDIANA,0.6042347624965846
2004,IOWA,0.5033667926271291
2004,KANSAS,0.6286709878108223
2004,KENTUCKY,0.6000761991547393
2004,LOUISIANA,0.573309412692435
2004,MAINE,0.4590314194458887
2004,MARYLAND,0.434344157924988
2004,MASSACHUSETTS,0.3725714448700811
2004,MICHIGAN,0.48274155532034796
2004,MINNESOTA,0.4823910988885792
2004,MISSISSIPPI,0.6022575562965446
2004,MISSOURI,0.5361971266543984
2004,MONTANA,0.6050007617566335
2004,NEBRASKA,0.6684733725959471
